Date,Security1,Security2,Security3,Security4,Security5,Security6,Security7,Security8,Security9,Security10
07/08/2000,12.33299,9.72824,77.13562,0.64573,7.20762,4.21415,3.97296,6.30523,12.82466,0.78446
08/08/2000,12.61981,9.72477,76.9673,0.65121,7.04563,4.18267,4.14825,6.38859,12.64589,0.76922
09/08/2000,12.76742,9.77976,76.16308,0.65121,7.04563,4.09455,4.21564,6.44396,12.7038,0.7457
10/08/2000,12.81343,9.82226,77.47102,0.65121,7.2022,4.14026,4.30203,6.47245,12.82236,0.7484
11/08/2000,12.80788,9.96978,76.66087,0.64041,7.37835,4.20737,4.41199,6.35175,12.94075,0.77814
14/08/2000,13.03949,10.04695,76.5568,0.64803,7.53718,4.25254,4.48767,6.20446,12.70298,0.79181
15/08/2000,13.03949,10.26368,78.48815,0.6478,7.58016,4.25254,4.45928,6.24817,13.00012,0.74929
16/08/2000,12.94864,10.49825,81.67658,0.65197,7.64384,4.42407,4.40815,6.25496,13.05948,0.74874
17/08/2000,13.09538,10.48234,79.49608,0.65704,7.9311,4.38251,4.53563,6.2445,12.94258,0.75997
18/08/2000,12.86658,10.62506,76.92142,0.65704,7.58236,4.24035,4.46971,6.14931,12.88271,0.76805
21/08/2000,12.75067,10.4018,75.82406,0.65704,7.92187,4.22344,4.25163,6.02164,13.06082,0.74339
22/08/2000,12.8913,10.35336,76.72099,0.65516,7.81734,4.24166,4.21754,5.97134,13.47639,0.72947
23/08/2000,12.83815,10.30544,79.31686,0.65224,7.863,4.26787,4.21726,6.15344,13.41599,0.76274
24/08/2000,12.84865,10.04751,78.40563,0.64515,7.6839,4.2382,4.18215,6.16868,13.65274,0.75381
25/08/2000,12.664,10.14787,78.19158,0.64489,7.40227,4.17716,4.18686,6.34774,13.41582,0.75304
28/08/2000,12.78539,10.07724,77.39285,0.64652,7.92141,4.10209,4.16657,6.45326,12.8809,0.73945
29/08/2000,12.66689,9.81468,76.85575,0.64652,7.74085,3.98595,4.19375,6.19858,13.17786,0.74884
30/08/2000,12.77809,10.05476,75.52741,0.64652,7.50612,3.98968,4.30166,6.25193,13.05914,0.74884
31/08/2000,12.62269,9.99538,75.56685,0.64652,7.62696,3.98861,4.34808,6.16116,13.17904,0.74586
01/09/2000,12.69754,9.98217,77.04853,0.65708,7.7413,3.91865,4.24424,6.24405,13.4757,0.72568
04/09/2000,12.91066,9.86901,76.417,0.66031,7.78966,3.80091,4.12988,6.27598,13.77252,0.74871
05/09/2000,12.74836,9.88276,75.97339,0.65201,7.71083,3.7982,3.99667,6.32099,13.47656,0.72251
06/09/2000,12.67181,9.63567,72.81016,0.64936,7.81119,3.68798,4.01011,6.29305,13.59599,0.69704
07/09/2000,12.40521,9.85411,73.57136,0.64936,7.57634,3.81086,3.95564,6.3443,13.59477,0.65119
08/09/2000,12.64251,9.6236,72.83652,0.64936,7.44776,3.72456,3.9888,6.17683,13.47691,0.62574
11/09/2000,12.38718,9.7868,73.56314,0.64936,7.32943,3.73779,3.91411,6.05749,13.47708,0.54767
12/09/2000,12.31698,9.79021,70.78726,0.64936,7.0339,3.71165,3.93698,5.99917,13.1804,0.54713
13/09/2000,12.37618,9.76895,71.3255,0.63536,6.90836,3.60804,3.96891,5.94804,13.1804,0.54793
14/09/2000,12.32238,10.05426,72.00289,0.63543,7.04036,3.4735,3.95158,5.90598,13.12102,0.54165
15/09/2000,12.30872,10.05938,72.11912,0.63915,6.85776,3.44207,3.92635,5.70075,13.18242,0.55059
18/09/2000,12.29247,9.72192,71.51609,0.63722,6.89769,3.42164,4.00227,5.72233,12.58894,0.53272
19/09/2000,12.10274,9.67637,71.29102,0.63722,6.74819,3.36777,3.9728,5.78377,12.46858,0.51064
20/09/2000,12.00608,9.58475,70.14419,0.6255,6.61842,3.31533,3.98761,5.67218,12.58652,0.55252
21/09/2000,12.01745,9.61214,71.66022,0.64231,6.45674,3.36247,4.04527,5.67296,12.52555,0.59827
22/09/2000,12.09783,10.1823,71.9268,0.64321,6.45047,3.54128,3.95154,5.72862,12.23124,0.58293
25/09/2000,12.20154,10.101,70.33566,0.6448,7.01055,3.46207,4.05759,5.73029,12.824,0.62256
26/09/2000,12.17563,10.14332,72.46762,0.63719,7.08931,3.43912,4.07603,5.94129,12.88354,0.63669
27/09/2000,12.17426,10.1067,73.82373,0.63719,6.86051,3.49879,4.13781,6.07564,13.00295,0.61442
28/09/2000,12.20213,10.28727,74.30718,0.63719,6.8024,3.6223,4.13052,6.10418,12.8847,0.60389
29/09/2000,12.22203,10.24261,72.01467,0.63747,6.9869,3.64094,4.12974,6.23814,12.94607,0.62548
02/10/2000,12.11323,10.17626,72.18036,0.65115,6.92264,3.70364,4.14072,6.37868,12.94607,0.62419
03/10/2000,11.72647,10.18711,72.18036,0.64228,7.24638,3.65723,4.08313,6.25109,13.30272,0.65565
04/10/2000,11.67341,9.93467,73.84609,0.63497,7.16558,3.63126,4.10059,6.27156,13.18462,0.65441
05/10/2000,11.61616,10.13118,74.6267,0.63551,7.33599,3.75037,4.12745,6.19923,13.24367,0.6424
06/10/2000,11.74327,9.99464,72.86072,0.63551,7.28333,3.58683,4.06519,6.05796,13.24367,0.68461
09/10/2000,11.72982,9.68292,71.55369,0.63551,6.99933,3.53269,4.06475,5.81758,13.00495,0.65234
10/10/2000,11.616,9.90652,69.69485,0.63958,7.0573,3.81321,3.97583,5.83293,12.94441,0.69536
11/10/2000,11.09914,9.39308,64.77719,0.65505,7.00133,3.76484,3.96454,5.68933,12.40793,0.71776
12/10/2000,11.03286,9.39308,64.44124,0.65031,6.814,3.71506,3.84261,5.53956,12.4108,0.72567
13/10/2000,10.34887,9.08387,65.61235,0.64942,6.65197,3.64544,3.85199,5.53019,12.17202,0.70091
16/10/2000,10.53193,9.01277,64.8146,0.65434,6.92993,3.64637,3.7637,5.43472,12.58765,0.75187
17/10/2000,11.03153,9.22979,65.24258,0.65434,6.53403,3.64274,3.62159,5.46408,12.88437,0.74217
18/10/2000,10.93999,8.73503,62.18663,0.65434,6.63948,3.54374,3.73226,5.15333,12.70624,0.72967
19/10/2000,11.00122,9.12027,65.7275,0.65115,7.05206,3.63659,3.76666,5.17763,12.46986,0.73823
20/10/2000,10.6823,9.20134,67.97787,0.64709,7.2547,3.68811,3.79032,5.48663,12.76578,0.73691
23/10/2000,10.4034,8.87223,66.74915,0.65018,7.09503,3.65697,3.86668,5.5287,13.12086,0.70345
24/10/2000,10.53083,9.33891,68.0337,0.64596,6.88469,3.66973,3.80591,5.47964,13.12002,0.72515
25/10/2000,10.45237,9.01269,66.68531,0.6468,6.87606,3.58463,3.80922,5.40514,13.17904,0.69935
26/10/2000,10.48585,8.57222,67.25513,0.6468,6.87606,3.61683,3.8895,5.28423,12.82236,0.7103
27/10/2000,10.26133,8.80081,68.11091,0.6468,6.9786,3.67429,3.95149,5.80558,12.76283,0.71427
30/10/2000,10.13608,8.84481,68.48387,0.6468,7.09099,3.80068,4.12683,5.97162,12.70315,0.7359
31/10/2000,10.00753,9.03864,71.27962,0.64784,7.19809,3.92111,4.12726,6.09087,12.88255,0.74842
01/11/2000,10.00753,9.03864,71.85137,0.6447,7.19187,4.0188,4.10647,6.1302,13.42029,0.80544
02/11/2000,11.06001,9.56639,73.17767,0.64992,7.08362,3.96268,4.31487,6.11258,13.42373,0.8807
03/11/2000,11.31282,9.58386,74.71837,0.65131,7.29026,3.98021,4.21061,6.23492,13.83649,0.86968
06/11/2000,12.07297,9.49821,73.74749,0.65131,6.85151,4.0259,4.24486,6.38512,13.77552,0.84799
07/11/2000,12.15639,9.48725,73.39537,0.65131,6.94257,4.04047,4.43215,6.52845,13.83366,0.85704
08/11/2000,11.83821,9.22869,72.74073,0.64853,6.94098,3.96864,4.4821,6.48073,13.71526,0.82376
09/11/2000,11.61192,9.10784,74.12898,0.64418,6.87432,3.9653,4.40759,6.43802,13.65572,0.84551
10/11/2000,11.42482,9.00653,73.78773,0.64434,6.80591,3.97341,4.3486,6.31301,13.65396,0.82406
13/11/2000,11.45163,9.08339,72.04432,0.6601,6.80669,3.96107,4.30357,6.19512,13.17921,0.78133
14/11/2000,11.90866,9.40235,73.89663,0.66332,6.91629,3.99055,4.40001,6.23298,13.47587,0.78003
15/11/2000,12.10993,9.43291,73.94837,0.66332,6.96487,4.0054,4.40944,6.21359,13.35611,0.81152
16/11/2000,12.39073,9.23734,72.4001,0.66332,6.99254,3.96676,4.39962,6.21526,13.53471,0.76727
17/11/2000,12.55331,8.90963,71.67779,0.66072,6.98497,3.96919,4.35495,6.06848,13.47483,0.76602
20/11/2000,12.62814,8.25727,69.38448,0.65798,6.80895,3.90987,4.35628,6.08185,13.59355,0.71136
21/11/2000,12.62466,8.21732,68.48363,0.65969,6.64629,3.96057,4.26229,6.002,13.47552,0.6673
22/11/2000,12.48633,7.99277,65.42031,0.66993,6.65045,4.03591,4.30852,5.77611,13.17803,0.67662
23/11/2000,12.35648,8.07056,64.27581,0.67167,6.8043,3.97486,4.32708,5.6977,12.76251,0.63462
24/11/2000,12.72527,8.32715,65.15262,0.67167,6.90826,3.95027,4.41261,5.58746,12.70331,0.60099
27/11/2000,13.14095,8.33484,66.73583,0.67167,6.98616,4.00509,4.55223,5.81591,12.94059,0.59256
28/11/2000,13.00939,8.23316,65.96934,0.66659,6.80934,4.07671,4.53689,5.79688,13.05948,0.53111
